sentence,answer,direction,corpusId,itemId
La sopa se toma con tenedor.,FALSE,left,spanish_lab,spanish_lab_1
Las peras son una fruta.,TRUE,right,spanish_lab,spanish_lab_2
Los peces viven fuera del agua.,FALSE,left,spanish_lab,spanish_lab_3
El agua es de color rojo.,FALSE,left,spanish_lab,spanish_lab_4
Los perros tienen cuatro patas.,TRUE,right,spanish_lab,spanish_lab_5
Los pescadores trabajan en la panadería.,FALSE,left,spanish_lab,spanish_lab_6
Los árboles tienen ramas.,TRUE,right,spanish_lab,spanish_lab_7
Un cuadrado tiene cinco lados.,FALSE,left,spanish_lab,spanish_lab_8
A los niños y niñas les gusta jugar.,TRUE,right,spanish_lab,spanish_lab_9
El hielo es frío.,TRUE,right,spanish_lab,spanish_lab_10
El café es de color azul.,FALSE,left,spanish_lab,spanish_lab_11
El jugo de naranja se hace con peras.,FALSE,left,spanish_lab,spanish_lab_12
Los autobuses van por las carreteras.,TRUE,right,spanish_lab,spanish_lab_13
El fútbol se juega con una cuchara.,FALSE,left,spanish_lab,spanish_lab_14
Algunas mesas tienen cuatro patas.,TRUE,right,spanish_lab,spanish_lab_15
Un tendor sive para cortar tela.,FALSE,left,spanish_lab,spanish_lab_16
Un celular necesita algo de pila para funcionar.,TRUE,right,spanish_lab,spanish_lab_17
Un martillo sirve para cocinar.,FALSE,left,spanish_lab,spanish_lab_18
El fuego es caliente.,TRUE,right,spanish_lab,spanish_lab_19
Las vacas producen leche.,TRUE,right,spanish_lab,spanish_lab_20
Las fresas son saladas.,FALSE,left,spanish_lab,spanish_lab_21
Una moto tiene dos ruedas.,TRUE,right,spanish_lab,spanish_lab_22
Algunas personas caminan descalzas sobre la arena.,TRUE,right,spanish_lab,spanish_lab_23
Las botellas de plástico contaminan el mar.,TRUE,right,spanish_lab,spanish_lab_24
Los conejos son un tipo de pájaro.,FALSE,left,spanish_lab,spanish_lab_25
Los caballos tienen pelo.,TRUE,right,spanish_lab,spanish_lab_26
Cuando hace calor algunas personas comen helado.,TRUE,right,spanish_lab,spanish_lab_27
Los pescadores pescan ovejas en el mar.,FALSE,left,spanish_lab,spanish_lab_28
El sol sale por la noche.,FALSE,left,spanish_lab,spanish_lab_29
Las estrellas están en el cielo.,TRUE,right,spanish_lab,spanish_lab_30
Puedo oler una fruta con mis ojos.,FALSE,left,spanish_lab,spanish_lab_31
Una guitarra sirve para tocar una canción.,TRUE,right,spanish_lab,spanish_lab_32
Algunas personas mayores utilizan bastón.,TRUE,right,spanish_lab,spanish_lab_33
Las personas pueden caminar en las nubes.,FALSE,left,spanish_lab,spanish_lab_34
Los zapatos se ponen en la cabeza.,FALSE,left,spanish_lab,spanish_lab_35
Las motos sirven para volar.,FALSE,left,spanish_lab,spanish_lab_36
Las gallinas ponen huevos.,TRUE,right,spanish_lab,spanish_lab_37
Los guantes se usan en las manos.,TRUE,right,spanish_lab,spanish_lab_38
Las arañas tienen tres patas.,FALSE,left,spanish_lab,spanish_lab_39
El tren se mueve por el ferrocarril.,TRUE,right,spanish_lab,spanish_lab_40
Se necesita fuerza para cargar un costal de piedras.,TRUE,right,spanish_lab,spanish_lab_41
En muchos lugares los gallos cantan por las mañanas.,TRUE,right,spanish_lab,spanish_lab_42
El café se endulza con sal.,FALSE,left,spanish_lab,spanish_lab_43
Los patos van al colegio montados en jirafas.,FALSE,left,spanish_lab,spanish_lab_44
Hay muchos ríos que llegan hasta el mar.,TRUE,right,spanish_lab,spanish_lab_45
En la selva húmeda tropical llueve mucho.,TRUE,right,spanish_lab,spanish_lab_46
Hay personas que se bañan con agua fría.,TRUE,right,spanish_lab,spanish_lab_47
La mayoría de los búhos salen a volar en las noches.,TRUE,right,spanish_lab,spanish_lab_48
La cebolla es una fruta.,FALSE,left,spanish_lab,spanish_lab_49
Las rocas caminan solas en el desierto.,FALSE,left,spanish_lab,spanish_lab_50
Los libros se guardan en la nevera.,FALSE,left,spanish_lab,spanish_lab_51
Algunas personas comen pescado.,TRUE,right,spanish_lab,spanish_lab_52
El agua es importante para cultivar vegetales.,TRUE,right,spanish_lab,spanish_lab_53
La luna es una estrella.,FALSE,left,spanish_lab,spanish_lab_54
Las personas van al aeropuerto para viajar en tren.,FALSE,left,spanish_lab,spanish_lab_55
Un vaso con leche se puede beber con tenedor.,FALSE,left,spanish_lab,spanish_lab_56
Algunos pájaros se alimentan del néctar de las flores.,TRUE,right,spanish_lab,spanish_lab_57
Los gatos lamen sus patas para limpiarse.,TRUE,right,spanish_lab,spanish_lab_58
Las chanclas son unos buenos zapatos para usar en lugares fríos.,FALSE,left,spanish_lab,spanish_lab_59
Hay personas que se ponen muy felices cuando bailan.,TRUE,right,spanish_lab,spanish_lab_60
El trabajo del pintor es cantar canciones.,FALSE,left,spanish_lab,spanish_lab_61
"Después de llover, puede aparecer un arcoíris.",TRUE,right,spanish_lab,spanish_lab_62
Todos los pájaros tienen el mismo tamaño de pico.,FALSE,left,spanish_lab,spanish_lab_63
Algunos estudiantes van caminando al colegio.,TRUE,right,spanish_lab,spanish_lab_64
El aceite solamente se utiliza para freír naranjas.,FALSE,left,spanish_lab,spanish_lab_65
Los caballos siempre andan más rápido que los carros.,FALSE,left,spanish_lab,spanish_lab_66
La miel es ácida como el limón.,FALSE,left,spanish_lab,spanish_lab_67
La mayoría de celulares sirven para tomar fotos.,TRUE,right,spanish_lab,spanish_lab_68
Se puede hacer fuego con hielo.,FALSE,left,spanish_lab,spanish_lab_69
La ropa se limpia con barro.,FALSE,left,spanish_lab,spanish_lab_70
Los elefantes escalan las montañas.,FALSE,left,spanish_lab,spanish_lab_71
La leche se puede tomar fría o caliente.,TRUE,right,spanish_lab,spanish_lab_72
Las avestruces ponen huevos pequeños.,FALSE,left,spanish_lab,spanish_lab_73
La mayoría de los murciélagos están despiertos durante el día.,FALSE,left,spanish_lab,spanish_lab_74
Las espinacas son de color rojo.,FALSE,left,spanish_lab,spanish_lab_75
Los barcos andan por el ferrocarril.,FALSE,left,spanish_lab,spanish_lab_76
Las palas sirven para sembrar.,TRUE,right,spanish_lab,spanish_lab_77
