"identifier","label","en","es-CO","de","fr-CA","nl","en-GH","de-CH","es-AR"
"components/game-tabs.LEVANTE TRANSLATIONS--------------------------","LEVANTE TRANSLATIONS--------------------------","","","","","","","",""
"components/game-tabs.clickToStart","clickToStart","Click to start","Haz clic para empezar","Klicken zum Starten","Cliquez pour commencer","Klik om te beginnen","Click to start","Klicken zum Starten","Haz clic para empezar"
"components/game-tabs.egmaMathDescription","egmaMathDescription","Solve the math problems.","Resuelve los problemas matemáticos.","Löse die Matheaufgaben.","Résolvez les problèmes mathématiques.","Los de rekenproblemen op.","Solve the math problems.","Löse die Matheaufgaben.","Resuelve los problemas matemáticos."
"components/game-tabs.egmaMathName","egmaMathName","Math","Matemáticas","Mathe","Mathématiques","Rekenen","Math","Mathe","Matemáticas"
"components/game-tabs.heartsAndFlowersDescription","heartsAndFlowersDescription","Match the correct side to the hearts and flowers.","Haz coincidir el lado correcto con los corazones y las flores.","Wähle die richige Seite für die Herzen und Blumen.","Associez le bon côté aux cœurs et aux fleurs.","Kies de juiste kant voor de harten en bloemen.","Match the correct side to the hearts and flowers.","Wähle die richige Seite für die Herzen und Blumen.","Haz coincidir el lado correcto con los corazones y las flores."
"components/game-tabs.heartsAndFlowersName","heartsAndFlowersName","Hearts and Flowers","Corazones y Flores","Herzen & Blumen","Cœurs et Fleurs","Harten en Bloemen","Hearts and Flowers","Herzen & Blumen","Corazones y Flores"
"components/game-tabs.introDescription","introDescription","Learn how to play our games. ","Aprende a jugar a nuestros juegos. ","Schau dir an, wie man unsere Spiele spielt. ","Apprenez à jouer à nos jeux.","Leer hoe je onze spellen kunt spelen.","Learn how to play our games. ","Schau dir an, wie man unsere Spiele spielt. ","Aprende a jugar a nuestros juegos. "
"components/game-tabs.introName","introName","Introduction","Introducción","Anleitungen","Introduction","Introductie","Introduction","Anleitungen","Introducción"
"components/game-tabs.matrixReasoningDescription","matrixReasoningDescription","Find the missing piece to complete the puzzle.","Encuentra la pieza que falta para completar el rompecabeza.","Finde das fehlende Teil, um das Puzzle zu vervollständigen.","Trouvez la pièce manquante pour compléter le puzzle.","Vind het ontbrekende stuk om de puzzel te voltooien.","Find the missing piece to complete the puzzle.","Finde das fehlende Teil, um das Puzzle zu vervollständigen.","Encuentra la pieza que falta para completar el rompecabeza."
"components/game-tabs.matrixReasoningName","matrixReasoningName","Pattern matching","Razonamiento Matricial","Musterspiel","Appariement de motifs","Patroon Matchen","Pattern matching","Musterspiel","Razonamiento Matricial"
"components/game-tabs.mefsDescription","mefsDescription","Match the shapes and colors.","Empareja las formas y los colores.","Formen und Farben zuordnen.","Associez les formes et les couleurs.","Match de vormen en kleuren.","Match the shapes and colors.","Formen und Farben zuordnen.","Empareja las formas y los colores."
"components/game-tabs.mefsName","mefsName","Lion and Monkey","El León y El Mono","Löwe & Affe","Lion et Singe","Leeuw en Aap","Lion and Monkey","Löwe & Affe","El León y El Mono"
"components/game-tabs.memoryGameDescription","memoryGameDescription","Watch the squares light up. Remember the order and make the same pattern.","Observa cómo se iluminan los cuadrados. Recuerda el orden y haz el mismo patrón.","Schau dir genau an, wie die Quadrate aufleuchten. Merke dir die Reihenfolge und mach das Muster genauso nach.","Regardez les carrés s'illuminer. Souvenez-vous de l'ordre et reproduisez le même motif.","Kijk naar de lichten op de vierkanten. Onthoud de volgorde en maak hetzelfde patroon.","Watch the squares light up. Remember the order and make the same pattern.","Schau dir genau an, wie die Quadrate aufleuchten. Merke dir die Reihenfolge und mach das Muster genauso nach.","Observa cómo se iluminan los cuadrados. Recuerda el orden y haz el mismo patrón."
"components/game-tabs.memoryGameName","memoryGameName","Memory","Memoria","Merkspiel","Mémorisation","Geheugen","Memory","Merkspiel","Memoria"
"components/game-tabs.mentalRotationDescription","mentalRotationDescription","Match the pictures.","Empareja las imágenes.","Ordne die Bilder zu.","Faites correspondre les images.","Match de afbeeldingen.","Match the pictures.","Ordne die Bilder zu.","Empareja las imágenes."
"components/game-tabs.mentalRotationName","mentalRotationName","Shape Rotation","Rotación Mental","Formenspiel","Rotation de Formes","Vorm Rotatie","Shape Rotation","Formenspiel","Rotación Mental"
"components/game-tabs.roarInferenceDescription","roarInferenceDescription","Read the stories and answer the questions.","Lee las historias y responde a las preguntas.","Lies die Geschichten und beantworte die Fragen.","Lisez les histoires et répondez aux questions.","Lees de verhalen en beantwoord de vragen.","Read the stories and answer the questions.","Lies die Geschichten und beantworte die Fragen.","Lee las historias y responde a las preguntas."
"components/game-tabs.roarInferenceName","roarInferenceName","Roar - Inference","Roar - Inferencia","Roar - Inferenz","Rugissement - Inférence","Roar - Inferentie","Roar - Inference","Roar - Inferenz","Roar - Inferencia"
"components/game-tabs.sameDifferentSelectionDescription","sameDifferentSelectionDescription","Find things that are the same about the shapes.","Encuentra cosas iguales en las formas.","Finde Dinge, die die Formen gemeinsam haben.","Trouvez les similitudes entre les formes.","Vind de dingen die dezelfde zijn bij de vormen.","Find things that are the same about the shapes.","Finde Dinge, die die Formen gemeinsam haben.","Encuentra cosas iguales en las formas."
"components/game-tabs.sameDifferentSelectionName","sameDifferentSelectionName","Same & Different","Iguales y Diferentes","Gleich & Verschieden","Similaires & Différents","Gelijk & Verschillend","Same & Different","Gleich & Verschieden","Iguales y Diferentes"
"components/game-tabs.surveyDescriptionChild","surveyDescriptionChild","Answer questions about your time at school.","Responde a las preguntas sobre tu estancia en el colegio.","Hier geht es um Fragen zu deiner Schulzeit.","Répondez aux questions concernant votre temps à l'école.","Beantwoord vragen over je tijd op school.","Answer questions about your time at school.","Hier geht es um Fragen zu deiner Schulzeit.","Responde a las preguntas sobre tu estancia en el colegio."
"components/game-tabs.surveyDescriptionParentPart1","surveyDescriptionParentPart1","This survey will take approximately 20-30 minutes to complete and will ask questions about your child.","Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 20-30 minutos y se le harán preguntas sobre su niño(a).","Das Ausfüllen dieser Fragebögen dauert etwa 30-45 Minuten. Teil A enthält Fragen zu Ihrem häuslichen Umfeld und zu Ihrer Person. In Teil B werden Fragen zu Ihrem Kind/ Ihren Kindern gestellt. Anhand des Geburtsdatums, welches im jeweiligen Fragebogen aufgeführt ist, können Sie erkennen, an welches Kind Sie bei der Beantwortung der Fragen denken sollen (falls Sie mehr als ein Kind in dieser Studie haben).","Ce questionnaire prendra environ 20-30 minutes à compléter et posera des questions concernant votre enfant.","Deze enquête duurt ongeveer 20-30 minuten en stelt vragen over uw kind.","This survey will take approximately 20-30 minutes to complete and will ask questions about your child.","Das Ausfüllen dieser Fragebögen dauert etwa 30-45 Minuten. Teil A enthält Fragen zu Ihrem häuslichen Umfeld und zu Ihrer Person. In Teil B werden Fragen zu Ihrem Kind/ Ihren Kindern gestellt. Anhand des Geburtsdatums, welches im jeweiligen Fragebogen aufgeführt ist, können Sie erkennen, an welches Kind Sie bei der Beantwortung der Fragen denken sollen (falls Sie mehr als ein Kind in dieser Studie haben).","Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 20-30 minutos y se le harán preguntas sobre su niño(a)."
"components/game-tabs.surveyDescriptionParentPart2","surveyDescriptionParentPart2","This survey will take approximately 20-30 minutes to complete and will ask questions about your home and yourself.","Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 20-30 minutos y se le harán preguntas sobre su hogar y usted mismo(a).","Umfrage für Eltern: Die folgende Umfrage dauert etwa 20-30 Minuten und enthält Fragen Ihrem zu Hause und zu Ihrer Person.","Ce questionnaire prendra environ 20-30 minutes à compléter et posera des questions sur votre domicile et vous-même.","Deze enquête duurt ongeveer 20-30 minuten en stelt vragen over uw huis en uzelf.","This survey will take approximately 20-30 minutes to complete and will ask questions about your home and yourself.","Umfrage für Eltern: Die folgende Umfrage dauert etwa 20-30 Minuten und enthält Fragen Ihrem zu Hause und zu Ihrer Person.","Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 20-30 minutos y se le harán preguntas sobre su hogar y usted mismo(a)."
"components/game-tabs.surveyDescriptionTeacherPart1","surveyDescriptionTeacherPart1","This survey will take approximately 5-10 minutes to complete and asks about your background and beliefs about teaching.","Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 5-10 minutos. Las preguntas indagan por sus antecedentes y creencias sobre la enseñanza.","Diese Umfrage dauert etwa 5-10 Minuten und fragt nach Ihrem Hintergrund und Ihren Ansichten zum Unterrichten.","Ce questionnaire prendra environ 5-10 minutes à compléter et posera des questions sur vos antécédents et vos croyances concernant l'enseignement.","Deze enquête duurt ongeveer 5-10 minuten en vraagt naar uw achtergrond en overtuigingen over onderwijs.","This survey will take approximately 5-10 minutes to complete and asks about your background and beliefs about teaching.","Diese Umfrage dauert etwa 5-10 Minuten und fragt nach Ihrem Hintergrund und Ihren Ansichten zum Unterrichten.","Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 5-10 minutos. Las preguntas indagan por sus antecedentes y creencias sobre la enseñanza."
"components/game-tabs.surveyDescriptionTeacherPart2","surveyDescriptionTeacherPart2","This survey will take approximately 5-10 minutes to complete and asks questions about the classroom(s) you teach.","Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 5-10 minutos y se le hará preguntas sobre el salón o los salones en los que imparte.","Diese Umfrage dauert etwa 5-10 Minuten und es werden Fragen zu den Klassenräumen gestellt, in denen Sie unterrichten.","Ce questionnaire prendra environ 5-10 minutes à compléter et posera des questions sur la salle de classe où vous enseignez.","Deze enquête duurt ongeveer 5-10 minuten en stelt vragen over de klas(sen) die u les geeft.","This survey will take approximately 5-10 minutes to complete and asks questions about the classroom(s) you teach.","Diese Umfrage dauert etwa 5-10 Minuten und es werden Fragen zu den Klassenräumen gestellt, in denen Sie unterrichten.","Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 5-10 minutos y se le hará preguntas sobre el salón o los salones en los que imparte."
"components/game-tabs.surveyNameChild","surveyNameChild","Thoughts and Feelings","Pensamientos y Sentimientos","Gedanken & Gefühle","Pensées et Sentiments","Gedachten en Gevoelens","Thoughts and Feelings","Gedanken & Gefühle","Pensamientos y Sentimientos"
"components/game-tabs.surveyNameParentPart1","surveyNameParentPart1","Survey - Caregiver","Encuesta para cuidadores","Umfrage - Erwachsene","Survey - Gardien","Enquête - Verzorgen","Survey - Caregiver","Umfrage - Erwachsene","Encuesta para cuidadores"
"components/game-tabs.surveyNameParentPart2","surveyNameParentPart2","Survey - Family","Encuesta para cuidadores","Umfrage - Familie","Enquête - Famille","Enquête - Familie","Survey - Family","Umfrage - Familie","Encuesta para cuidadores"
"components/game-tabs.surveyNameTeacherPart1","surveyNameTeacherPart1","Survey - General","Encuesta de profesores - General","Umfrage - Allgemein","Enquête - Général","Enquête - Algemeen","Survey - General","Umfrage - Allgemein","Encuesta de profesores - General"
