sentence,answer,direction,difficulty,itemId
A flag hangs from a pole.,TRUE,right,,aiV1P1_1
Snowflakes fall in the summer.,FALSE,left,,aiV1P1_2
Airplanes fly in the air.,TRUE,right,,aiV1P1_3
Walruses have tiny teeth and live in tropical environments.,FALSE,left,,aiV1P1_4
Owls cannot turn their heads.,FALSE,left,,aiV1P1_5
Roads have signs and lights.,TRUE,right,,aiV1P1_6
We breathe in air all the time.,TRUE,right,,aiV1P1_7
A gift is wrapped with love.,TRUE,right,,aiV1P1_8
Rainbows show only one color.,FALSE,left,,aiV1P1_9
A car has ten wheels.,FALSE,left,,aiV1P1_10
Cameras drink pictures.,FALSE,left,,aiV1P1_11
Oceans are full of salt water.,TRUE,right,,aiV1P1_12
People sleep in beds.,TRUE,right,,aiV1P1_13
Everyone dislikes all seasons.,FALSE,left,,aiV1P1_14
Sharks have sharp teeth.,TRUE,right,,aiV1P1_15
Flags have no colors.,FALSE,left,,aiV1P1_16
Cars float on water.,FALSE,left,,aiV1P1_17
Cakes are salty.,FALSE,left,,aiV1P1_18
Horses can run fast.,TRUE,right,,aiV1P1_19
A telephone helps us walk.,FALSE,left,,aiV1P1_20
Everyone has a name.,TRUE,right,,aiV1P1_21
A seashell comes from the forest.,FALSE,left,,aiV1P1_22
A house is a place to live.,TRUE,right,,aiV1P1_23
We wear jackets in the cold.,TRUE,right,,aiV1P1_24
People need sleep every day.,TRUE,right,,aiV1P1_25
Ants work together.,TRUE,right,,aiV1P1_26
A lock eats things safe.,FALSE,left,,aiV1P1_27
Toys are for playing with.,TRUE,right,,aiV1P1_28
A pillow is soft and fluffy.,TRUE,right,,aiV1P1_29
Dolphins can jump out of a volcano.,FALSE,left,,aiV1P1_30
A whale is a small land creature.,FALSE,left,,aiV1P1_31
People use sand to buy things.,FALSE,left,,aiV1P1_32
Monkeys climb trees.,TRUE,right,,aiV1P1_33
"People walk, run, and jump to move and get exercise.",TRUE,right,,aiV1P1_34
Bees ignore honey and don't help flowers by carrying pollen.,FALSE,left,,aiV1P1_35
Children go to school buy gifts.,FALSE,left,,aiV1P1_36
Hamsters swim on wheels.,FALSE,left,,aiV1P1_37
Teachers work in schools.,TRUE,right,,aiV1P1_38
A watch dances the time.,FALSE,left,,aiV1P1_39
A baby learns to crawl.,TRUE,right,,aiV1P1_40
No one has feelings.,FALSE,left,,aiV1P1_41
Hands can hold things.,TRUE,right,,aiV1P1_42
Pumpkins grow in the ocean.,FALSE,left,,aiV1P1_43
Friends play together.,TRUE,right,,aiV1P1_44
Yawns show we are hungry.,FALSE,left,,aiV1P1_45
A triangle has ten sides.,FALSE,left,,aiV1P1_46
Pets are living things we care for.,TRUE,right,,aiV1P1_47
Hammers are for playing piano.,FALSE,left,,aiV1P1_48
The moon can be seen at night and changes in shape.,TRUE,right,,aiV1P1_49
Wind can make things invisible.,FALSE,left,,aiV1P1_50
Mountains are very short.,FALSE,left,,aiV1P1_51
People speak different languages.,TRUE,right,,aiV1P1_52
A fan keeps us cool.,TRUE,right,,aiV1P1_53
Streets are for walking and driving.,TRUE,right,,aiV1P1_54
Lions are big cats.,TRUE,right,,aiV1P1_55
Puppies and kittens grow into adult dogs and cats.,TRUE,right,,aiV1P1_56
People walk on their hands.,FALSE,left,,aiV1P1_57
A ruler cooks things.,FALSE,left,,aiV1P1_58
Kangaroos can jump far.,TRUE,right,,aiV1P1_59
The ocean is microscopic.,FALSE,left,,aiV1P1_60
The park is for playing.,TRUE,right,,aiV1P1_61
We say goodbye when we leave.,TRUE,right,,aiV1P1_62
Skies can be blue or gray.,TRUE,right,,aiV1P1_63
Sunscreen attracts the sun.,FALSE,left,,aiV1P1_64
Bananas are blue when ripe.,FALSE,left,,aiV1P1_65
Zebras have black and white stripes.,TRUE,right,,aiV1P1_66
"Babies need milk, love, and care as they grow into children.",TRUE,right,,aiV1P1_67
"Animals like turtles, snakes, and lizards are called mammals.",FALSE,left,,aiV1P1_68
A peach is fuzzy and sweet.,TRUE,right,,aiV1P1_69
Leaves fall from trees.,TRUE,right,,aiV1P1_70
Doors dissolve and reappear.,FALSE,left,,aiV1P1_71
Pencils can help you swim.,FALSE,left,,aiV1P1_72
People use maps to find places.,TRUE,right,,aiV1P1_73
"A train goes ""meow meow.""",FALSE,left,,aiV1P1_74
People talk with their elbows.,FALSE,left,,aiV1P1_75
People learn from their mistakes.,TRUE,right,,aiV1P1_76
You can hear a song.,TRUE,right,,aiV1P1_77
Dogs like to bark and play.,TRUE,right,,aiV1P1_78
The sun sets in the morning.,FALSE,left,,aiV1P1_79
Raincoats keep us dry.,TRUE,right,,aiV1P1_80
We eat our teeth every day.,FALSE,left,,aiV1P1_81
Milk comes from rocks.,FALSE,left,,aiV1P1_82
Planets repel the sun.,FALSE,left,,aiV1P1_83
