sentence,answer,direction,difficulty,itemId
Children grow as they get older.,TRUE,right,easy,ai_1
A freezer keeps food frozen.,TRUE,right,easy,ai_2
Children play in the playground.,TRUE,right,easy,ai_3
A farmer grows food.,TRUE,right,easy,ai_4
A nap helps us rest.,TRUE,right,easy,ai_5
Babies cry when they are upset.,TRUE,right,easy,ai_6
A seashell comes from the sea.,TRUE,right,easy,ai_7
A house is a place to live.,TRUE,right,easy,ai_8
A mountain is tall and rocky.,TRUE,right,easy,ai_9
A pond has water and fish.,TRUE,right,easy,ai_10
A kitten is a baby cat.,TRUE,right,easy,ai_11
Animals live in the zoo.,TRUE,right,easy,ai_12
A beach has sand and water.,TRUE,right,easy,ai_13
Flowers need water to grow.,TRUE,right,easy,ai_14
A spoon helps us eat soup.,TRUE,right,easy,ai_15
A swing goes back and forth.,TRUE,right,easy,ai_16
Mail is eaten by mail carriers.,FALSE,left,easy,ai_17
We use our stomach to digest food.,TRUE,right,easy,ai_18
A telephone helps us talk.,TRUE,right,easy,ai_19
Most birds lay potatoes.,FALSE,left,easy,ai_20
A turtle has a shell.,TRUE,right,easy,ai_21
Ice cream is cold and sweet.,TRUE,right,easy,ai_22
The moon comes out at night.,TRUE,right,easy,ai_23
We cut paper with scissors.,TRUE,right,easy,ai_24
Apples grow on trees.,TRUE,right,easy,ai_25
A stapler keeps papers together.,TRUE,right,easy,ai_26
People use umbrellas in the rain.,TRUE,right,easy,ai_27
Snowflakes are black and rough.,FALSE,left,easy,ai_28
People use their eyes to see.,TRUE,right,easy,ai_29
Babies drink milk.,TRUE,right,easy,ai_30
A boat floats on water.,TRUE,right,easy,ai_31
A baby learns to crawl.,TRUE,right,easy,ai_32
A pancake is round and flat.,TRUE,right,easy,ai_33
Fish have wings.,FALSE,left,easy,ai_34
Birds swim in the sky.,FALSE,left,easy,ai_35
Snow is warm and white.,FALSE,left,easy,ai_36
A horse can run fast.,TRUE,right,easy,ai_37
A stove cooks our food.,TRUE,right,easy,ai_38
Doctors help us when we are sick.,TRUE,right,easy,ai_39
People wear hats on their feet.,FALSE,left,easy,ai_40
A pillow is soft and fluffy.,TRUE,right,easy,ai_41
An adult is a grown-up.,TRUE,right,easy,ai_42
A squirrel has a bushy tail.,TRUE,right,easy,ai_43
Dogs meow and retract their tails.,FALSE,left,easy,ai_44
Birds crawl high in the sky.,FALSE,left,easy,ai_45
Rain is made of syrup.,FALSE,left,easy,ai_46
Sheep have thick wool.,TRUE,right,easy,ai_47
Whales live in the ocean.,TRUE,right,easy,ai_48
Puppies are baby dogs.,TRUE,right,easy,ai_49
The ocean is large and deep.,TRUE,right,easy,ai_50
We sleep at night to rest.,TRUE,right,easy,ai_51
People wear gloves on their feet.,FALSE,left,easy,ai_52
Roads have cotton candy and unicorns.,FALSE,left,easy,ai_53
Hamsters swim on wheels.,FALSE,left,easy,ai_54
Dogs like to bark and play.,TRUE,right,easy,ai_55
Sunscreen protects us from the sun.,TRUE,right,easy,ai_56
