1CSentences,1CAnswers,1CDirection,2CSentences,2CAnswers,2CDirection,3CSentences,3CAnswers,3CDirection,4CSentences,4CAnswers,4CDirection,5CSentences,5CAnswers,5CAnswer,6CSentences,6CAnswers,6CDirection,7CSentences,7CAnswers,7CDirection,8CSentences,8CAnswers,8CDirection
A fish can swim.,Yes,right,A boy can eat cake.,Yes,right,The sun is round.,Yes,right,You can look at a book.,Yes,right,An airplane can fly high.,Yes,right,A bank has money.,Yes,right,You can play with a toy in the bathtub.,Yes,right,There is sand in the desert.,Yes,right
Pigs can fly.,No,left,It is hot in the snow.,No,left,A ball can see.,No,left,Snow is green.,No,left,A cat will eat a mailbox.,No,left,A car requires gas.,Yes,right,Blue jays are smaller than ants.,No,left,You can play with a toy in the bathtub.,Yes,right
Bears have fur.,Yes,right,A horse lives in a barn.,Yes,right,Fish swim in a lake.,Yes,right,You can fly a kite.,Yes,right,A bank has money.,Yes,right,Adults are small.,No,left,Farmers grow wheat in large fields.,Yes,right,People like to eat dirt for lunch as a snack.,No,left
A fox can run.,Yes,right,The sun is dark.,No,left,A baby can row a boat.,No,left,A father can go to work.,Yes,right,You can cook an airport.,No,left,Clowns live in caves with crickets.,No,left,Birds make nests for their babies.,Yes,right,A girl can have a lot of freckles on her face.,Yes,right
Mom can ride a kite.,No,left,A car can walk.,No,left,You can clean a room.,Yes,right,Ants have hats.,No,left,Sugar is good to put on your feet.,No,left,You might find a cabin in the woods.,Yes,right,Snakes are good at farming.,No,left,You can find starfish in space.,No,left
Cats drive a bus.,No,left,You can look at a house.,Yes,right,Schoolwork can be hard to do.,Yes,right,A tiger will roar.,Yes,right,A banana is a fruit you can eat.,Yes,right,Some greyhounds are raised for racing around a track.,Yes,right,You can buy popcorn in a movie theater.,Yes,right,A tortoise is faster than a greyhound.,No,left
The grass is green.,Yes,right,A girl can wear a shoe.,Yes,right,A hamster can have ten feet.,No,left,You can ride a rooster.,No,left,A storm might be powerful.,Yes,right,A teenager is a boy or girl who is less than ten years old.,No,left,A test tube might break if you drop it during an experiment.,Yes,right,Most people wear jackets on their feet rather than shoes.,No,left
Cows go to church.,No,left,You write with gum.,No,left,Friday is a month of the year.,No,left,Football is played by frogs.,No,left,A sentence ends with a comma.,No,left,A person might wear an apron while cooking.,Yes,right,You can find icebergs in the desert.,No,left,A beagle might bark to warn its owner if it sees a hawk.,Yes,right
You can help a baby.,Yes,right,You can drive a hen.,No,left,A prince likes to eat sand for dinner.,No,left,You wear a ring on your elbow.,No,left,Rabbits like to eat carrots.,Yes,right,Some people who want to lose weight count calories.,Yes,right,Teenagers like to drive sponges to school.,No,left,A watermelon can be too big for a small boy to lift.,Yes,right
You sleep on a log.,No,left,Fish swim in a lake.,Yes,right,A car requires gas.,Yes,right,You might find a cabin in the woods.,Yes,right,A neighbor lives far away.,No,left,It is unusual for the sun to rise in the morning.,No,left,A man in prison can roam freely throughout the world.,No,left,You should invite vultures to a wedding.,No,left
Ducks like to dress up.,No,left,A tiger will roar.,Yes,right,A girl can talk on a telephone.,Yes,right,A lighthouse shines brightly at night.,Yes,right,A boy standing outside may have a shadow.,Yes,right,Puppies gallop faster than horses.,No,left,You might calculate to solve a problem in a math class.,Yes,right,Some airplanes fly at a very high altitude.,Yes,right
You can eat an egg.,Yes,right,A princess lives on the sun.,No,left,A banana is good to drink.,No,left,You can grow onions in a tree.,No,left,Having lots of wrinkles means that you are very young.,No,left,A person who gets lost might try to use a compass to get home safely.,Yes,right,Some of our ancestors were born and lived in prehistoric times.,Yes,right,An envelope can be used as a radio.,No,left
A mouse can quack.,No,left,You eat cereal with a fork.,No,left,A state has a capital.,Yes,right,A storm can produce flooding.,Yes,right,A teacher might write a story on a blackboard.,Yes,right,A doctor uses a telescope to check your heart.,No,left,An alert watchdog will sleep through a burglary attempt.,No,left,If you appreciate a gift very much you should tell the person who gave it to you.,Yes,right
Birds fly in the sky.,Yes,right,There is sand at the beach.,Yes,right,You play checkers on a journal.,No,left,Ladders are always made of steak.,No,left,A spark might terrify a new leather chair.,No,left,You might be anxious if you are about to take a spelling test.,Yes,right,"If you spend more than your budget allows, you may run short of money.",Yes,right,Some of our ancestors were born and lived in prehistoric times.,Yes,right
Some girls like juice.,Yes,right,You can buy some food in a market.,Yes,right,You can move a mountain in a wagon.,No,left,A horse can slide up a mountain covered in snow.,No,left,Many schools are used to educate ants.,No,left,A cowboy is a person who enjoys riding seals.,No,left,A friend you admire is someone you have little respect for.,No,left,A plumber should be called right away if your automobile breaks down.,No,left
A princess lives in the sun.,No,left,Moths listen to moons.,No,left,A storm might be powerful.,Yes,right,A student may have to go see the principal.,Yes,right,A passenger is a man who plays violin.,No,left,Drinking water is a good precaution to take if it is hot and you are going to run.,Yes,right,A teacher might put a bonus question on a test to give students extra credit.,Yes,right,A celebrity might be asked for her autograph.,Yes,right
You can keep money in the bank.,Yes,right,You can cook an airport.,No,left,A lighthouse can be in a harbor.,Yes,right,A family might go to a store to purchase a bed.,Yes,right,You can eat a hamburger with mustard for dinner.,Yes,right,Sneezing when you go out is an emergency.,No,left,A boycott might be organized as a way to protect a decision made by a store.,No,left,"Getting an ""A"" on an important test would devastate most students.",No,left
An eagle is a small bird.,No,left,A doctor can help if you are sick.,Yes,right,A porcupine is fun to pet.,No,left,Lobsters might be found eating grain in a snowstorm.,No,left,A microscope is for seeing things that are far away.,No,left,People ride to a shopping mall in envelopes.,No,left,A hunter wears camouflage to be seen more easily.,No,left,A bachelor is someone who has been married all of his adult life.,No,left
You can feed a hamster.,Yes,right,A lion can fly at night.,No,left,Chrome is always very dull.,No,left,You might invite your friends to your birthday party.,Yes,right,A doctor might tell a patient to exercise more.,Yes,right,"If you win an award, you should acknowledge people who helped you along the way.",Yes,right,Men wear cosmetics to make them feel more intelligent.,No,left,A parent might ask a daughter to buckle her seat belt to protect her in an accident.,Yes,right
Popcorn can be cooked on a stove.,Yes,right,Birds make nests for their babies.,Yes,right,A dog can be hard to control if a rabbit runs by.,Yes,right,A salmon will run after bears to eat them for dinner.,No,left,Parents can ask for a conference to talk about a child's grades.,Yes,right,Firecrackers are good to eat for dinner.,No,left,An automatic decision is one that requires a lot of thought.,No,left,An automatic decision is one that requires a lot of thought.,No,left
You eat cereal with a fork.,No,left,A boy might read an article.,Yes,right,A teenager is a boy or girl who is less than ten years old.,No,left,Bacon is grown in dry climates.,No,left,Some airplanes fly at a very high altitude.,Yes,right,People who build tunnels through mountains might use dynamite.,Yes,right,Doing the same thing over and over again can be monotonous.,Yes,right,People who go fishing sometimes exaggerate the size of the fish they catch.,Yes,right
A lion can fly at night.,No,left,A lighthouse shines brightly at night.,Yes,right,A student might need help doing homework.,Yes,right,A boy might make a girl blush by giving her candy and flowers.,Yes,right,"When food is abundant, there will be limited amounts of food to eat.",No,left,Blinking your eyes is a very dangerous thing to do.,No,left,If you commit a serious crime you might be sent to a penitentiary.,Yes,right,The main problem with having a famine is overly abundant food to eat.,No,left
You can fill a balloon with air.,Yes,right,You might find an island in your cereal.,No,left,Most people wear jackets on their feet rather than shoes.,No,left,The planets can be found in a pineapple under the sea.,No,left,"If you go to the circus, you might get to see the acrobats perform.",Yes,right,A light rain is an example of a major disaster.,No,left,You may be asked to calculate answers to difficult problems in a college math class.,Yes,right,A disinfectant is useful for killing some germs that can cause illness.,Yes,right
A fishing boat can be at a dock.,Yes,right,Ladders are always made of steak.,No,left,A hawk might fly down from a tree to chase after a rabbit.,Yes,right,You might find an old arrowhead buried in the dirt.,Yes,right,An amateur athlete might train after school.,Yes,right,Frost can appear on a vehicle if the climate is extremely cold.,Yes,right,Wearing a blindfold is better than wearing glasses if you cannot see the board.,No,left,Most people wear ancient pyramids on their wrists for predicting weather.,No,left
You might find a cabin in the woods.,Yes,right,You might find a parade of ants at a picnic.,Yes,right,If you have a lot of school spirit you might cheer loudly at games.,Yes,right,A relative can be your cousin.,Yes,right,"If you want to keep a secret, you should broadcast it on the radio.",No,left,A planet that is habitable will support life.,Yes,right,It would be dishonest to return a lost wallet with all of the money inside it to its owner.,No,left,One way to find a solution to a disagreement is to look for a compromise.,Yes,right
Football is played by frogs.,No,left,A chipmunk can work on the railroad.,No,left,You can buy popcorn in a movie theter.,Yes,right,You can find several bodyguards at the White House.,Yes,right,You will want to spend a lot of time with a person who is very annoying.,No,left,A celebrity might be asked for her autograph.,Yes,right,One way to find a solution to a disagreement is to look for a compromise.,Yes,right,Hotels are one form of accommodation for people taking trips.,Yes,right
You can find starfish in space.,No,left,An artist can paint a picture.,Yes,right,A melon is a fish that is bigger than a salmon.,No,left,Velvet is an expensive product made of hamsters.,No,left,Some children with an allergy might be allergic to pets such as dogs or cats.,Yes,right,Men wear cosmetics to make them feel more intelligent.,No,left,A disinfectant is useful for killing some germs that can cause illness.,Yes,right,"If too much rain accumulates, severe flooding can damage houses.",Yes,right
A joke might not be funny.,Yes,right,You can write with an onion.,No,left,A bucket filled with a hundred gold coins is worthless.,No,left,Potato farmers love droughts in the spring.,No,left,Too many absences can make it difficult to keep up with your work and get good grades.,Yes,right,Dynamite is often used in cooking.,No,left,The main problem with having a famine is overly abundant food to eat.,No,left,"Clam chowder is made from various spiders, peanuts, and several kinds of insects.",No,left
