"","sentence","itemId"
"1","A blanket can be very soft.","lab_1"
"2","Fish have thumbs.","lab_2"
"3","Sandwiches are food.","lab_3"
"4","Some worms ride pumpkins to school.","lab_4"
"5","Sweaters can be made of coal.","lab_5"
"6","Some children are afraid of the dark.","lab_6"
"7","A teacher is a person that works at a school.","lab_7"
"8","The ocean is home to many aquatic animals.","lab_8"
"9","Triangles have five sides.","lab_9"
"10","Chefs cook meals in their beds.","lab_10"
"11","People like to eat mud.","lab_11"
"12","Children can be sad.","lab_12"
"13","Cars have wheels.","lab_13"
"14","All cars are yellow.","lab_14"
"15","Trees have branches.","lab_15"
"16","Soda is always brown.","lab_16"
"17","Trash is thrown away in bathtubs.","lab_17"
"18","Wolves are a type of monkey.","lab_18"
"19","Children enjoy playing with toys.","lab_19"
"20","All children are afraid of the sun.","lab_20"
"21","It is usually dark at night.","lab_21"
"22","Towels are often made of glass.","lab_22"
"23","A pillow can be very soft.","lab_23"
"24","A monkey has a face.","lab_24"
"25","Eyeglasses can help you see better.","lab_25"
"26","Some houses have back yards.","lab_26"
"27","Soccer is a game you play with only your hands.","lab_27"
"28","When you break a bone you normally have to wear a cast.","lab_28"
"29","Computers need electricity to work.","lab_29"
"30","Dogs always walk on two legs.","lab_30"
"31","Basketball is a game that you play with a fork.","lab_31"
"32","Spaceships are flown by cowboys.","lab_32"
"33","Some kids take music lessons.","lab_33"
"34","Grandparents can bring presents when they come to visit their family.","lab_34"
"35","Trash cans are where you store extra notebook paper.","lab_35"
"36","Most humans listen with their feet.","lab_36"
"37","Chairs are alive.","lab_37"
"38","People can buy tomatoes at the market.","lab_38"
"39","Orange juice is always made of grapes.","lab_39"
"40","Some people like to run for exercise in the morning.","lab_40"
"41","Snails are usually very fast.","lab_41"
"42","Apples grow on trees.","lab_42"
"43","Some slugs ride elephants to school.","lab_43"
"44","People drive cars on the road.","lab_44"
"45","Students never get in trouble when they cheat on tests.","lab_45"
"46","Whales have two legs.","lab_46"
"47","Girls can listen to music with earphones.","lab_47"
"48","A curtain is something you wear.","lab_48"
"49","Many nurses work in hospitals.","lab_49"
"50","Medicine is supposed to make you stay sick longer.","lab_50"
"51","Many people paint pictures with screwdrivers.","lab_51"
"52","The sun is bright.","lab_52"
"53","It is faster to run than it is to walk.","lab_53"
"54","Stores are where you go to buy things.","lab_54"
"55","Elephants are large animals.","lab_55"
"56","Kittens are young cats.","lab_56"
"57","Blankets are made of metal.","lab_57"
"58","People like to eat dust.","lab_58"
"59","Most dogs wear leashes when they go for a walk.","lab_59"
"60","Spiders like to drink orange juice out of coffee mugs.","lab_60"
"61","Some kids love red crayons.","lab_61"
"62","A doctor can work in a hospital that serves many people.","lab_62"
"63","People can use cash to pay in stores.","lab_63"
"64","Moms like eating hats.","lab_64"
"65","Lizards like to cook pasta.","lab_65"
"66","Many babies drink milk.","lab_66"
"67","Air conditioners can lower the temperature of a room.","lab_67"
"68","Every magician is a fairy.","lab_68"
"69","People can wear socks to keep their feet warm.","lab_69"
"70","People sometimes drink milk.","lab_70"
"71","Most girls keep their books in a pond.","lab_71"
"72","Every basketball player is on a school team.","lab_72"
"73","Pockets can be used to keep change.","lab_73"
"74","Baseball is a game that you play with a knife.","lab_74"
"75","Lollipops are always made from vegetables.","lab_75"
"76","Towels are used to make things dry.","lab_76"
"77","Climbing up a mountain can be exhausting.","lab_77"
"78","Some shoes have laces.","lab_78"
"79","People drive cars in the sink.","lab_79"
"80","A cactus may grow in the desert.","lab_80"
"81","Most houses have grass on the ceiling.","lab_81"
"82","Most houses are made of foam.","lab_82"
"83","Dentists always give children candy and lemonade.","lab_83"
"84","People brush their teeth with mayonnaise.","lab_84"
"85","Eating only ice cream is healthy.","lab_85"
"86","Cows sing at night.","lab_86"
